OBJ_ID,BRIGHTNESS,MAGNITUDE,MAX_X,MAX_Y,SKY,UPPERLIMIT,X,Y,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,POSITION_ANGLE,ELLIPTICITY,AREA,SEMI_MAJOR
1,80.749,-4.768,143,52,0.0003987,1.9943,122.918,27.769,12.555,8.786,85.138,0.317,1282,9.619
2,96.405,-4.96,305,39,0.0003603,1.9488,276.846,11.794,12.459,9.611,-8.613,0.108,1337,8.778
3,2.5075,-0.998,1655,8,0.00105,0.47223,1649.106,3.282,3.366,1.921,17.472,0.469,76,3.094
4,17.309,-3.096,1421,23,0.003581,1.5189,1399.522,9.501,11.038,5.295,19.826,0.553,598,10.895
5,7.6637,-2.211,2410,24,1.778e-05,0.98022,2395.98,12.812,6.296,5.176,-33.189,0.163,321,5.84
6,26.5,-3.558,2745,28,0.0005499,1.3675,2726.47,12.435,8.426,6.184,27.289,0.219,581,6.832
7,31.973,-3.762,4011,23,0.0003132,1.2136,3991.779,6.194,10.246,5.034,-7.991,0.46,528,7.795
8,6.4634,-2.026,649,17,0.001217,0.76678,641.086,9.418,4.431,3.695,25.837,0.112,183,3.65
9,22.878,-3.399,747,41,0.001893,1.6355,715.845,22.401,14.437,6.925,-0.676,0.549,899,14.537
10,55.888,-4.368,1224,84,0.001788,1.8955,1204.981,50.007,15.964,8.701,77.211,0.445,1352,13.246
11,8.4741,-2.32,3913,47,0.0003205,0.95341,3903.528,35.441,5.894,5.03,-53.893,0.164,340,5.668
12,30.375,-3.706,3172,61,0.0005212,1.6887,3154.189,42.599,8.67,6.851,-81.997,0.18,686,7.025
13,8.3434,-2.303,548,56,0.0005646,0.77391,538.543,47.364,5.362,3.895,-43.71,0.267,233,4.809
14,2.5169,-1.002,2016,49,0.001014,0.43306,2011.147,43.672,3.177,2.312,54.232,0.302,89,3.003
15,3.863,-1.467,1593,62,0.001572,0.58382,1587.086,54.815,3.938,2.417,47.376,0.42,113,3.481
16,318.57,-6.258,1951,89,0.001659,2.4348,1917.848,52.181,17.785,15.155,-74.83,0.167,3033,11.137
17,8.9553,-2.38,3728,48,0.0002276,1.2053,3708.726,33.749,8.649,5.42,17.29,0.393,445,8.725
18,8.3268,-2.301,2529,39,-0.0001022,0.94873,2517.96,30.635,5.294,3.953,-21.631,0.228,251,4.721
19,41.423,-4.043,2403,114,-9.349e-05,2.0635,2384.695,82.889,13.568,8.109,85.878,0.391,1219,12.711
20,8.2431,-2.29,3840,45,-0.0001891,0.84904,3826.588,36.408,5.963,3.91,16.069,0.367,229,5.469
21,7.6723,-2.212,530,83,0.001001,0.93862,520.404,71.627,5.59,4.395,16.673,0.246,260,5.502
22,10.017,-2.502,1338,62,0.002913,0.95836,1328.413,49.501,6.928,4.644,-83.905,0.339,373,6.697
23,8.1886,-2.283,3200,88,0.0002814,1.0777,3189.655,76.212,6.733,4.507,49.212,0.344,330,6.662
24,2.9483,-1.174,656,81,0.000825,0.61101,648.878,73.689,4.191,2.839,52.226,0.354,131,4.095
25,3.5815,-1.385,3559,83,0.0003139,0.53664,3553.201,77.56,3.183,2.769,44.475,0.167,108,2.927
26,5.4902,-1.849,1680,99,0.0009493,0.79441,1672.115,88.752,5.844,3.344,-83.838,0.482,217,5.995
27,8.0746,-2.268,3488,98,0.001278,1.012,3474.966,90.783,6.242,3.51,21.559,0.388,256,5.317
28,39.67,-3.996,1427,74,0.003558,1.6532,1409.466,56.824,9.677,7.033,-32.538,0.241,815,7.376
29,7.0035,-2.113,1556,82,0.001088,1.0164,1546.227,65.986,7.312,4.276,-82.558,0.405,319,7.154
30,3.9728,-1.498,2348,71,0.0007819,0.69353,2338.029,64.527,5.762,2.542,-22.497,0.593,168,5.803
31,6.1561,-1.973,1071,81,0.001343,0.97875,1059.454,71.657,5.044,4.305,47.663,0.083,238,4.688
32,330.79,-6.299,1047,56,0.001234,2.6453,994.253,16.326,23.782,14.037,-18.241,0.253,3658,15.104
33,9.9289,-2.492,4166,78,0.0006952,1.0379,4153.744,69.006,6.523,4.018,10.691,0.366,301,5.889
34,15.371,-2.967,3178,100,0.0004545,1.2927,3157.694,84.58,8.581,6.965,29.26,0.198,523,8.196
35,29.856,-3.688,761,108,0.00199,1.5699,737.191,91.597,11.441,6.582,-12.852,0.43,836,9.969
36,79.52,-4.751,3676,121,0.0009693,2.0239,3646.292,101.878,14.914,7.889,-35.967,0.428,1264,10.459
37,28.307,-3.63,2754,121,0.00106,1.623,2726.66,101.732,16.552,8.312,-4.575,0.531,982,16.661
38,4.0403,-1.516,3240,104,0.000749,0.66521,3230.286,96.481,4.118,3.092,17.942,0.242,133,3.671
39,251.13,-6,1246,164,0.002461,2.7387,1193.474,128.293,20.677,14.607,-34.588,0.313,2992,13.802
40,5.5219,-1.855,3608,119,1.411e-05,0.70527,3598.869,106.827,6.016,3.383,-62.352,0.504,223,6.016
41,46.435,-4.167,3153,146,0.000956,1.9164,3132.622,121.039,14.599,8.578,33.567,0.394,1190,12.543
42,19.239,-3.21,1599,129,0.0005927,1.077,1585.287,117.239,6.349,5.13,-25.718,0.177,386,5.132
43,57.875,-4.406,159,169,0.0002432,1.7501,125.942,136.288,12.796,10.58,-0.727,0.112,1211,9.628
44,9.928,-2.492,66,146,0.0006298,1.04,55.842,132.634,5.708,4.315,-89.173,0.261,285,5.123
45,19.826,-3.243,2108,176,0.001922,1.6412,2094.566,153.052,11.625,6.275,87.044,0.474,705,10.646
46,3.8596,-1.466,2542,152,-0.0008066,0.79961,2534.361,144.044,4.414,3.445,-54.93,0.203,172,4.18
47,13.637,-2.837,1115,165,0.0003483,0.99083,1100.031,156.128,7.628,3.925,-7.219,0.447,301,6.425
48,12.602,-2.751,1113,189,0.0002047,0.90138,1098.828,170.421,6.477,6.24,-53.832,0.187,393,6.846
49,3.0257,-1.202,1121,168,0.0006371,0.54303,1111.989,161.267,5.028,2.6,11.209,0.576,113,5.326
50,29.259,-3.666,3192,186,0.0006252,1.4555,3166.403,162.606,10.584,8.121,19.492,0.244,856,9.738
51,18.662,-3.177,3212,190,0.0003743,1.1635,3194.269,177.254,8.977,4.744,37.544,0.465,483,8.038
52,692.61,-7.101,479,216,0.002256,3.1388,424.751,166.205,25.051,19.918,-38.499,0.184,5770,14.488
53,56.573,-4.382,494,145,0.001904,1.9126,472.532,119.549,12.668,9.084,78.478,0.289,1368,10.555
54,20.823,-3.296,424,146,0.001378,1.4127,404.726,130.182,12.478,5.655,-35.577,0.531,791,11.696
55,22.239,-3.368,2690,120,0.0004142,1.3113,2673.091,105.372,7.826,7.089,0.876,0.052,624,6.492
56,1529.8,-7.962,2289,91,0.002313,4.1842,2208.198,19.937,36.836,20.482,-19.259,0.417,8541,25.909
57,9.677,-2.464,2204,121,0.002033,1.0747,2187.295,102.335,10.719,4.121,-60.304,0.604,443,10.38
58,17.471,-3.106,2260,144,0.002267,1.4344,2243.494,121.847,13.053,5.855,82.327,0.573,689,13.003
59,4.9062,-1.727,1892,123,0.002204,0.79053,1883.411,111.478,6.303,4.032,88.629,0.408,231,6.366
60,11.631,-2.664,3587,15,0.001805,0.98989,3572.355,6.271,7.204,3.452,2.687,0.51,263,6.165
61,4.5696,-1.65,84,27,0.0009106,0.64862,75.265,16.792,4.83,4.059,67.337,0.107,201,4.479
62,17.494,-3.107,182,137,0.0003226,1.2963,168.338,121.324,7.563,5.985,-32.051,0.24,478,6.764
63,24.27,-3.463,465,58,0.00072,1.6598,450.508,33.836,9.503,7.359,83.03,0.182,682,8.014
64,46.115,-4.16,2484,78,-0.0007233,1.701,2454.987,47.975,13.155,10.712,45.229,0.247,1320,12.511
65,4.2005,-1.558,4141,39,0.0002706,0.70807,4131.167,32.704,4.501,3.187,-32.815,0.282,158,4.197
66,89.602,-4.881,4009,210,0.0008339,2.1029,3970.256,179.412,17.617,10.894,34.962,0.42,1925,15.353
67,15.743,-2.993,3959,197,0.001137,1.1705,3943.837,182.995,8.59,4.121,42.344,0.5,392,7.163
68,11.662,-2.667,2758,54,0.0002116,0.93664,2745.948,45.878,5.257,4.427,34.139,0.116,267,4.402
69,5.9212,-1.931,2756,172,0.0013,0.817,2747.342,164.407,4.805,3.601,20.144,0.247,194,4.449
70,33.087,-3.799,877,146,0.001932,1.3411,861.721,128.615,8.978,6.671,37.677,0.162,634,6.7
71,21.436,-3.328,883,165,0.002231,1.3336,860.817,152.872,9.981,5.293,-10.089,0.443,609,8.499
72,11.318,-2.634,887,143,0.001704,0.95146,875.899,123.923,8.162,4.259,85.291,0.374,333,6.846
73,23.882,-3.445,3394,154,0.002329,1.5018,3374.09,136.025,10.125,6.672,40.781,0.316,729,8.829
74,1.8435,-0.664,3379,155,0.002055,0.45475,3372.091,150.705,3.67,2.252,12.407,0.441,94,3.733
75,16.421,-3.039,1708,156,0.0003258,1.2877,1695.932,138.189,7.709,5.381,77.509,0.31,443,6.92
76,28.03,-3.619,1850,177,0.001143,1.8031,1821.436,151.982,16.298,9.65,10.438,0.392,1267,15.609
77,41.75,-4.052,4200,211,0.000339,2.11,4174.982,175.355,18.467,8.018,45.388,0.577,1399,18.116
78,5.2983,-1.81,166,170,0.0002111,0.84094,156.761,157.419,5.342,3.035,71.902,0.437,180,5.166
79,77.949,-4.73,1421,210,0.002276,2.0196,1392.477,185.499,20.343,7.174,33.895,0.68,1443,17.995
80,22.518,-3.381,1405,230,0.00252,1.3364,1388.342,212.262,8.691,6.212,36.335,0.255,608,7.37
81,6.7823,-2.078,1616,182,0.0002465,0.98605,1604.959,172.95,6.032,3.766,44.199,0.363,263,5.667
82,10.74,-2.578,338,174,0.001878,1.0674,327.134,161.106,5.885,4.873,64.643,0.151,329,5.144
83,7.3401,-2.164,634,190,0.0006066,0.82486,624.82,180.776,6.131,3.995,-25.193,0.373,241,5.804
84,23.892,-3.446,2705,192,0.0007377,1.3368,2687.494,174.161,8.417,6.36,-61.874,0.239,578,7.308
85,4.3072,-1.585,1295,176,0.002492,0.71404,1285.433,167.514,4.337,3.809,68.689,0.152,164,3.902
86,5.783,-1.905,506,184,0.002273,0.79314,496.855,174.043,5.394,3.784,62.504,0.298,199,5.204
87,17.676,-3.118,792,210,0.001118,1.1959,771.972,194.075,8.532,7.629,-6.567,0.152,695,8.454
88,7.3394,-2.164,731,201,8.882e-05,0.97081,717.959,189.361,7.461,3.03,-39.435,0.613,262,7.193
89,6.3759,-2.011,3568,196,0.0001785,0.80388,3555.526,189.244,6.579,3.251,10.12,0.517,243,6.454
90,93.218,-4.924,3821,212,0.001372,1.8542,3798.053,188.203,12.093,9.259,-43.226,0.179,1290,8.288
91,24.587,-3.477,62,203,0.0008827,1.3018,42.365,189.566,8.354,6.617,-8.945,0.234,642,7.27
92,147.09,-5.419,1516,254,0.0006919,2.3508,1489.887,216.989,18.647,11.912,27.824,0.335,2147,13.219
93,17.534,-3.11,1344,230,0.002729,1.2338,1330.003,210.773,8.931,6.306,47.547,0.279,542,7.723
94,9.0108,-2.387,2857,224,0.000778,1.0625,2844.054,212.613,8.562,3.326,36.601,0.623,328,8.367
95,7.9805,-2.255,3931,232,0.001237,0.92138,3922.835,216.114,7.827,3.734,-80.93,0.512,338,7.594
96,5.284,-1.807,2684,224,0.000907,0.90449,2674.671,214.593,5.59,3.101,30.577,0.47,199,5.437
97,8.8822,-2.371,4046,242,0.00025,1.1715,4029.69,228.463,6.622,5.426,1.705,0.185,389,6.485
98,12.97,-2.782,3784,246,0.001075,1.3325,3766.056,233.196,9.129,5.648,2.623,0.368,502,8.702
99,592.99,-6.933,837,170,0.002078,2.7493,794.443,113.205,23.968,14.873,72.054,0.297,3622,12.367
100,54.922,-4.349,827,92,0.001831,2.0589,799.617,70.853,14.669,11.04,34.143,0.207,1712,12.729
101,21.09,-3.31,835,161,0.002234,1.3335,820.265,138.231,10.948,5.728,70.319,0.544,686,11.728
102,210.88,-5.81,3420,293,0.0009663,2.6764,3379.725,262.294,19.795,12.978,-26.184,0.343,3034,14.272
103,13.26,-2.806,3440,85,0.001735,1.1382,3427.812,73.954,6.819,5.232,-49.026,0.236,398,6.081
104,13.141,-2.797,3435,77,0.001544,1.1138,3419.84,59.599,7.561,6.769,-79.7,0.126,434,6.795
105,8.4061,-2.311,574,257,0.001575,0.92496,561.884,243.475,6.992,4.571,-54.957,0.326,324,6.549
106,44.566,-4.123,3133,254,0.001216,1.9175,3111.111,210.539,19.549,8.626,-86.868,0.592,1280,18.793
107,15.801,-2.997,3161,209,0.00108,1.148,3144.998,191.56,7.19,6.267,-37.825,0.135,443,6.468
108,24.267,-3.463,3189,237,0.0007492,1.4961,3169.135,219.223,11.616,6.787,20.835,0.4,892,10.601
109,9.4934,-2.444,1824,200,0.001025,0.98664,1808.516,190.973,7.217,3.888,-32.871,0.502,291,6.748
110,12.82,-2.77,360,212,0.002351,1.1089,346.704,198.197,6.915,5.752,5.79,0.187,438,6.491
111,5.0453,-1.757,2479,211,-0.0006102,0.77966,2469.998,202.121,4.188,3.935,-21.072,0.114,162,4.037
112,16.149,-3.02,3607,228,0.0002143,1.2343,3590.751,214.968,7.405,6.379,18.5,0.143,492,6.852
113,5.267,-1.804,2782,223,0.0003439,0.82971,2774.364,213.042,5.27,3.356,-51.088,0.291,198,4.615
114,3.2413,-1.277,817,219,0.001668,0.67088,806.099,213.638,4.874,2.908,7.467,0.458,143,4.88
115,9.1299,-2.401,2881,242,0.001033,1.0414,2869.439,229.518,6.824,5.828,-44.406,0.129,358,6.69
116,5.2364,-1.798,2121,248,0.001488,0.82458,2110.158,233.556,7.673,3.282,-71.068,0.581,219,7.84
117,8.6229,-2.339,536,247,0.001911,1.1442,524.215,234.579,6.324,5.233,26.706,0.153,352,6.116
118,7.4284,-2.177,600,24,0.0005333,0.94755,589.911,13.15,6.405,4.075,-51.44,0.367,287,6.207
119,15.359,-2.966,2000,26,0.0003572,1.0139,1990.198,10.57,6.265,5.52,69.525,0.086,388,5.172
120,6.2026,-1.981,1988,35,0.0007471,0.87008,1978.805,21.726,7.165,3.694,80.209,0.458,248,6.856
121,9.2243,-2.412,3332,18,0.0009513,0.93046,3322.246,8.97,5.633,4.409,14.098,0.193,296,5.039
122,55.811,-4.367,2136,109,0.001753,1.9719,2104.739,87.522,15.536,7.927,29.582,0.449,1350,12.727
123,28.633,-3.642,2122,125,0.001914,1.3575,2105.378,108.732,8.065,6.368,-18.555,0.157,571,6.493
124,14.176,-2.879,2140,81,0.001716,1.313,2123.932,67.27,8.554,5.554,-30.76,0.344,566,8.1
125,20.665,-3.288,1813,39,0.0007659,1.3506,1798.018,24.455,10.519,5.543,-55.771,0.504,611,9.908
126,44.533,-4.122,2945,87,-0.0003187,1.6336,2922.011,74.845,11.151,6.315,-2.351,0.392,812,8.241
127,5.7245,-1.894,1516,78,0.0007974,0.90854,1509.173,70.581,4.556,3.912,24.256,0.115,209,4.38
128,27.918,-3.615,1135,72,0.000445,1.7186,1105.181,41.809,18.369,6.95,-59.25,0.647,995,18.626
129,33.644,-3.817,3944,116,0.0002803,1.9189,3916.645,98.499,11.328,9.092,-12.826,0.205,992,9.763
130,12.466,-2.739,3904,105,6.119e-05,1.4406,3888.62,84.382,10.571,4.92,54.343,0.545,584,10.628
131,8.4611,-2.319,1633,95,0.001173,1.0628,1617.042,84.237,7.83,4.285,41.593,0.435,347,7.397
132,66.22,-4.552,1703,68,0.0009826,1.8631,1682.018,46.442,10.558,8.124,-57.494,0.203,939,7.476
133,41.995,-4.058,1797,121,0.0009243,1.6873,1777.486,100.48,11.668,8.567,54.821,0.297,1155,10.386
134,8.8386,-2.366,702,107,0.001587,0.87781,691.783,93.327,6.621,4.881,80.961,0.246,356,6.351
135,83.664,-4.806,3628,88,0.001187,2.2777,3591.389,55.534,21.608,12.33,-18.731,0.44,2118,19.195
136,15.818,-2.998,2419,57,-0.0001835,1.1782,2404.105,44.247,7.923,5.002,30.937,0.339,430,6.742
137,211.69,-5.814,345,310,0.002639,2.502,306.173,268.752,23.269,11.88,-36.57,0.537,2837,18.589
138,2.6557,-1.06,318,248,0.002297,0.73921,307.517,239.92,6.174,2.601,37.992,0.581,179,5.991
139,9.7655,-2.474,1445,259,0.001739,0.87625,1434.489,248.281,5.848,4.949,64.428,0.109,316,5.204
140,6.0718,-1.958,3280,257,0.0009421,0.73492,3269.655,249.873,5.852,3.289,-20.477,0.431,210,5.544
141,48.146,-4.206,4014,76,0.0003595,1.713,3986.508,52.093,11.12,8.955,-1.614,0.161,1042,8.992
142,5.0603,-1.76,905,259,0.0004771,0.76367,896.523,250.334,4.288,4.045,37.374,0.12,199,4.32
143,8.188,-2.283,3302,270,0.0008404,1.0182,3290.804,259.314,6.502,4.07,47.248,0.389,295,6.16
144,7.9949,-2.257,4011,265,0.0006925,0.87905,3994.051,256.379,10.492,3.616,-9.465,0.66,304,10.562
145,26.786,-3.57,1492,87,0.00182,1.4211,1468.373,62.751,13.734,6.466,59.141,0.542,829,12.786
146,13.207,-2.802,2849,281,0.001179,1.1223,2834.18,268.514,7.985,4.739,-36.354,0.406,401,7.269
147,7.4811,-2.185,2596,77,-0.0002206,0.88269,2588.785,65.56,5.545,3.433,79.997,0.327,225,4.796
148,10.044,-2.505,2006,84,0.001978,1.1977,1988.867,72.011,10.119,4.815,10.407,0.557,421,10.144
149,4.1917,-1.556,3031,78,0.001016,0.81606,3020.699,69.813,5.413,3.931,-4.976,0.326,244,5.483
150,53.05,-4.312,3961,312,0.000829,1.9773,3940.409,286.309,12.593,9.527,-75.931,0.23,1243,9.875
151,47.037,-4.181,3267,301,0.00102,1.6938,3247.596,283.228,10.644,7.314,51.72,0.288,824,8.085
152,5.955,-1.937,709,289,0.001716,0.73745,699.422,277.517,6.295,4.052,4.877,0.359,207,5.947
153,51.702,-4.284,388,271,0.002941,1.5048,367.83,254.427,9.213,7.504,17.778,0.19,803,6.739
154,34.947,-3.859,413,289,0.003316,1.4209,392.089,271.314,10.063,8.499,-19.842,0.152,872,8.459
155,3.5374,-1.372,1595,257,0.000892,0.58622,1585.575,249.481,5.064,2.906,33.965,0.417,162,5.051
156,6.0146,-1.948,1616,264,0.0008817,0.7452,1608.176,254.554,5.86,3.906,-73.096,0.325,234,5.544
157,32.587,-3.783,83,326,0.0008391,1.3665,64.199,300.052,11.356,6.471,-82.73,0.437,705,9.42
158,13.048,-2.789,526,271,0.002125,1.1575,509.568,260.604,7.596,5.449,-20.206,0.299,453,7.09
159,9.0457,-2.391,2549,309,-0.0004924,0.91784,2537.864,294.447,8.739,3.525,56.209,0.621,320,8.493
160,8.527,-2.327,3572,268,0.0001367,0.89394,3560.75,258.445,5.398,4.199,10.919,0.259,250,5.048
161,6.3316,-2.004,1984,275,0.002093,0.87396,1975.417,263.03,6.33,3.569,62.014,0.42,248,5.923
162,12.95,-2.781,938,323,-0.0001237,1.1886,926.225,305.158,8.645,4.771,-75.911,0.445,453,8.401
163,5.2957,-1.81,2972,276,0.0006297,0.72695,2963.622,267.208,4.813,4.151,57.455,0.174,197,4.796
164,6.0931,-1.962,2186,321,0.001283,0.99528,2178.093,308.571,7.059,3.997,-64.359,0.44,277,7.064
165,4.0333,-1.514,984,311,0.0001875,0.69588,977.276,303.937,4.122,3.34,41.283,0.252,144,4.177
166,5.2445,-1.799,2490,316,9.471e-05,0.84079,2478.372,310.199,5.644,2.769,-17.165,0.435,186,4.723
167,8.5599,-2.331,3510,339,0.002324,1.0891,3498.797,326.781,6.339,5.177,-72.38,0.197,360,6.253
168,60.049,-4.446,1611,304,0.0009051,1.688,1590.138,287.495,10.532,8.066,79.005,0.219,932,7.701
169,11.913,-2.69,652,357,0.001705,1.1874,634.511,340.364,10.358,4.579,43.5,0.553,494,9.694
170,83.056,-4.798,1371,352,0.001033,2.0675,1345.178,303.833,24.707,11.643,-86.888,0.603,1758,24.146
171,165.43,-5.547,2987,181,9.653e-05,2.7815,2962.97,130.406,21.76,10.352,89.181,0.529,2600,16.019
172,18.473,-3.166,2956,194,0.000846,1.2652,2938.317,177.372,7.417,6.954,19.178,0.0639999999999999,571,6.288
173,10.929,-2.596,2927,180,0.001023,0.9547,2916.799,168.178,6.156,4.951,34.929,0.18,329,5.24
174,39.35,-3.987,3036,124,0.0005773,1.7721,3006.694,105.457,12.969,7.031,3.837,0.463,1016,11.741
175,4.7973,-1.703,2939,166,0.001014,0.74409,2926.607,158.548,5.518,2.967,26.181,0.487,174,5.152
176,15.286,-2.961,2942,132,4.973e-05,1.4437,2926.535,114.339,11.24,6.326,-78.805,0.445,648,11.139
177,9.7615,-2.474,2076,122,0.001981,1.062,2062.423,107.019,7.049,5.708,84.669,0.208,422,7.142
178,4.0731,-1.525,2497,110,-0.001102,0.69122,2490.2,103.349,4.282,3.087,-55.613,0.296,161,4.183
179,25.619,-3.521,1488,335,0.000979,1.6502,1472.818,309.664,14.821,6.305,88.983,0.596,879,14.658
180,19.342,-3.216,943,142,0.001553,1.4176,924.531,119.199,12.431,6.279,55.403,0.51,738,12.513
181,6.1527,-1.973,957,139,0.001644,0.84928,947.389,128.421,5.8,4.861,-30.693,0.199,286,5.853
182,4.346,-1.595,80,117,0.000704,0.81018,66.48,110.982,6.067,3.031,12.256,0.538,185,6.017
183,3.6115,-1.394,3834,125,0.001543,0.57463,3828.359,116.614,4.502,2.81,72.165,0.402,140,4.332
184,7.3352,-2.164,1033,137,0.0003465,0.77211,1022.264,127.792,5.979,3.661,-32.946,0.357,245,5.291
185,4.07,-1.524,2762,135,0.001556,0.61957,2754.889,127.743,3.688,2.913,-30.718,0.188,126,3.32
186,6.3642,-2.009,4090,155,0.0003798,0.7326,4078.825,144.122,7.232,3.335,-49.238,0.52,243,6.97
187,200.36,-5.755,2450,405,0.0006633,2.8599,2418.752,362.766,19.165,11.975,51.912,0.334,2599,12.759
188,36.626,-3.909,2412,399,0.0006932,1.4574,2393.889,382.302,8.541,7.736,-32.991,0.07,751,7.388
189,7.9662,-2.253,3913,351,0.0004045,0.8921,3903.574,343.176,4.705,3.686,23.4,0.245,207,4.103
190,74.551,-4.681,2354,212,0.00232,1.9001,2330.785,184.516,17.288,9.44,-76.182,0.518,1578,16.001
191,6.0171,-1.948,1521,364,0.0005355,0.99016,1512.204,353.279,5.515,3.736,48.54,0.357,235,5.543
192,10.785,-2.582,2244,377,0.000675,1.112,2233.741,360.852,8.328,4.101,-76.592,0.526,394,8.353
193,102.01,-5.022,3540,201,0.0005486,2.3224,3507.882,175.6,18.301,11.646,18.869,0.39,2204,15.573
194,18.454,-3.165,2883,178,0.0005538,1.3818,2867.584,161.959,7.52,6.151,-27.272,0.198,512,7.056
195,67.522,-4.574,2610,414,0.001219,1.7897,2590.401,392.403,10.594,8.976,-11.958,0.083,1090,7.644
196,34.822,-3.855,2573,395,0.0006398,1.7703,2553.901,376.419,10.089,7.45,57.363,0.219,828,8.004
197,22.797,-3.395,2613,383,0.001076,1.2454,2592.426,371.51,8.589,5.827,-10.375,0.306,564,7.417
198,43.081,-4.086,605,189,0.0007823,1.6541,587.626,170.951,8.127,7.604,-1.103,0.112,699,6.231
199,155.25,-5.478,3410,221,0.001592,2.7905,3381.818,181.724,14.298,12.378,-89.976,0.214,2055,10.726
200,1.0684,-0.072,3399,210,0.001284,0.4766,3395.488,203.736,3.12,1.971,89.344,0.256,73,2.536
201,47.89,-4.201,1423,440,0.0003026,1.4667,1404.228,419.086,9.537,8.121,-35.443,0.142,879,7.124
202,49.756,-4.242,1422,479,0.000473,1.9197,1395.457,452.691,11.682,11.049,-5.411,0.091,1456,10.421
203,45.059,-4.134,1432,419,0.0001047,1.6998,1410.09,389.698,16.067,7.539,49.884,0.548,1217,14.332
204,37.265,-3.928,4161,223,-0.0005662,1.774,4139.007,204.367,10.811,7.614,9.435,0.262,912,9.134
205,27.913,-3.615,4143,198,-0.0005649,1.6138,4114.527,180.628,11.502,6.959,-2.688,0.402,790,10.354
206,23.027,-3.406,3921,187,0.001614,1.4513,3901.566,175.453,9.464,5.526,3.294,0.422,575,8.303
207,13.117,-2.795,2540,206,-0.0007558,1.1608,2526.419,190.081,8.491,5.379,-76.165,0.362,457,8.089
208,2.7212,-1.087,1786,192,0.0008216,0.59955,1779.833,184.129,3.302,2.961,-63.053,0.192,113,3.341
209,6.685,-2.063,1461,200,0.0006056,0.69088,1453.729,189.071,5.14,3.256,-76.676,0.388,190,4.789
210,57.018,-4.39,2421,284,0.00147,2.3202,2398.26,227.626,28.577,11.869,79.378,0.598,2025,28.138
211,10.553,-2.558,3776,85,-6.903e-05,1.1865,3756.22,71.731,9.365,4.476,-6.268,0.53,438,9.124
212,18.72,-3.181,3350,90,0.002031,1.2474,3329.749,79.399,9.339,4.556,1.668,0.52,473,8.388
213,12.282,-2.723,3379,94,0.001968,1.2515,3361.726,79.421,8.15,5.576,-24.526,0.32,426,7.85
214,25.317,-3.509,268,114,0.0006416,1.8425,244.178,96.718,12.384,6.935,-26.727,0.424,828,10.872
215,11.473,-2.649,1273,100,0.001849,0.9983,1262.526,90.251,5.851,4.618,-63.81,0.189,312,4.958
216,109.26,-5.096,1838,263,0.001799,2.032,1805.948,234.394,13.044,10.288,-7.707,0.178,1519,8.989
217,73.022,-4.659,1791,273,0.00166,2.0905,1765.81,247.19,12.541,9.617,-1.371,0.23,1379,9.709
218,22.686,-3.389,1767,301,0.002056,1.5582,1753.213,283.664,9.396,6.803,-76.41,0.235,671,7.897
219,13.512,-2.827,1799,229,0.00127,1.2744,1779.001,213.974,8.383,7.017,40.55,0.138,520,7.891
220,6.3088,-2,3091,223,0.001355,0.86353,3082.306,210.878,6.497,3.126,-68.208,0.532,237,6.075
221,15.932,-3.006,1867,240,0.001176,1.3625,1854.731,224.796,8.855,5.441,-62.004,0.394,529,8.186
222,4.3574,-1.598,142,229,0.000246,0.73004,136.459,217.896,5.614,3.01,-85.983,0.465,181,5.365
223,136.21,-5.336,3295,141,0.001322,1.7824,3261.073,116.438,14.658,10.866,2.188,0.221,1813,10.137
224,29.962,-3.691,1162,273,-0.0005164,1.6391,1145.441,246.632,14.13,6.074,70.61,0.57,970,13.122
225,43.529,-4.097,3941,264,0.0009187,1.4878,3909.916,241.699,15.496,6.778,31.881,0.601,1058,14.828
226,8.1022,-2.272,1051,246,-0.0001455,1.0078,1038.119,232.295,6.944,4.136,43.166,0.335,321,6.228
227,6.0011,-1.946,3857,247,0.0006392,0.71462,3845.676,239.329,5.276,3.773,-20.16,0.334,216,5.011
228,35.073,-3.862,2532,267,-0.000561,1.4258,2516.404,248.714,8.843,6.957,-30.621,0.219,687,7.166
229,7.4914,-2.186,1474,266,0.001206,1.0327,1461.127,253.672,8.201,3.639,46.218,0.59,293,8.358
230,10.412,-2.544,2892,271,0.001149,1.0423,2880.385,258.49,8.153,4.232,70.159,0.496,372,7.823
231,44.82,-4.129,2045,166,0.001958,1.5366,2027.063,148.832,8.424,7.567,-58.014,0.08,720,6.278
232,46.706,-4.173,2048,131,0.002379,1.8282,2016.693,113.265,13.329,8.357,24.828,0.409,1218,11.602
233,9.6493,-2.461,2583,114,-0.0006959,0.90235,2573.252,103.771,6.021,4.626,-1.329,0.145,269,5.142
234,35.14,-3.865,3345,278,0.0007479,1.6514,3322.164,261.147,10.75,6.864,14.66,0.328,828,8.927
235,11.238,-2.627,2026,278,0.001973,1.0312,2012.133,264.526,8.673,4.942,-52.237,0.454,404,8.611
236,11.033,-2.607,1515,282,0.00122,1.0668,1500.594,267.759,9.542,4.573,-51.427,0.533,371,9.32
237,29.472,-3.674,2724,309,0.0007074,1.9995,2697.359,282.105,15.553,7.099,-50.772,0.564,1069,15.525
238,38.681,-3.969,563,129,0.001177,1.5678,549.318,112.426,7.902,6.692,-28.647,0.163,619,6.074
