OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,588.839,10.728,13.38,24.184,9.554,5.634,608,25,8.195,0.41,15.952,0.001344,0.05338,626,1.4805
2,640.993,14.638,13.297,24.191,8.252,5.249,656,36,8.749,0.364,-89.316,0.00265,0.05428,514,1.3599
3,277.592,10.124,114.62,21.852,9.278,5.726,311,35,39.44,0.383,-2.472,0.002149,0.05289,1218,1.8998
4,276.129,28.935,3.2024,25.736,3.579,2.689,283,36,4.308,0.249,-44.945,0.002872,0.05301,127,0.72112
5,223.584,13.194,16.396,23.963,12.913,7.315,252,32,8.823,0.434,-3.212,0.002578,0.05415,808,1.5957
6,904.183,17.606,11.285,24.369,8.925,5.449,918,35,7.335,0.389,65.555,0.00331,0.05545,539,1.2416
7,125.211,34.079,105.91,21.938,13.967,8.134,158,84,31.74,0.418,63.349,0.001699,0.05547,2017,2.2028
8,124.739,5.833,5.5035,25.148,5.945,2.825,139,13,5.399,0.525,0.957,0.0009407,0.05531,224,0.8539
9,98.106,17.725,6.7626,24.925,8.48,5.186,108,37,5.023,0.388,67.981,0.001882,0.05456,430,1.1692
10,807.883,18.643,13.509,24.173,10.158,6.589,826,33,8.035,0.351,-21.991,0.002176,0.05401,667,1.297
11,463.132,22.501,51.752,22.715,25.196,11.229,530,56,16.041,0.554,-15.482,0.002543,0.05385,2365,2.1651
12,457.858,55.136,7.0659,24.877,8.577,3.878,477,64,5.565,0.548,-1.552,0.00322,0.05362,390,1.2718
13,997.398,14.194,360.52,20.608,11.246,8.678,1045,54,74.665,0.228,27.375,0.002478,0.05462,2647,2.3427
14,969.652,38.648,25.575,23.48,9.862,9.519,991,58,12.147,0.035,-50.45,0.002414,0.05547,987,1.6044
15,1012.473,125.243,19.326,23.785,11.916,7.804,1034,143,9.187,0.345,12.558,0.001878,0.0542,1034,1.7544
16,1067.347,70.121,13.353,24.186,13.819,7.063,1096,87,7.146,0.489,6.708,0.002908,0.05395,810,1.3498
17,1041.437,88.902,8.1686,24.72,9.215,3.973,1055,106,6.139,0.569,-51.055,0.0008956,0.05402,412,1.1145
18,1121.336,32.796,52.298,22.704,27.183,11.258,1180,74,14.725,0.586,-36.289,0.002708,0.05422,2927,2.646
19,1036.303,78.629,2.0871,26.201,4.334,2.423,1042,87,2.74,0.441,-68.75,0.001487,0.05393,142,0.67749
20,1000.536,89.472,16.231,23.974,16.015,8.165,1031,108,7.027,0.49,-8.37,0.002536,0.05371,1256,1.8261
21,2394.867,11.973,11.963,24.305,7.213,4.181,2408,29,8.967,0.42,49.722,0.0004319,0.05377,390,1.1646
22,2375.036,8.372,3.6188,25.604,5.058,4.138,2383,20,3.573,0.182,47.334,0.0004886,0.05259,239,0.99667
23,707.775,25.909,47.939,22.798,23.94,12.458,756,54,14.682,0.48,-4.319,0.002532,0.05472,2486,2.8341
24,665.836,55.736,1.4668,26.584,4.047,2.075,672,64,2.364,0.487,61.622,0.004665,0.05515,88,0.59791
25,3331.669,82.157,40.349,22.985,17.003,11.35,3359,121,13.195,0.333,-82.245,0.00199,0.05425,2159,2.0458
26,3312.752,15.92,25.203,23.496,18.563,9.164,3346,44,9.599,0.506,16.413,0.005023,0.05471,1615,1.9867
27,3362.834,71.929,17.699,23.88,12.441,5.366,3378,100,9.084,0.569,83.828,0.003597,0.0539,873,1.8537
28,2210.712,16.361,1630.2,18.969,24.754,10.762,2293,69,171.276,0.565,-3.097,0.00286,0.0554,7042,NA
29,2176.213,62.41,90.599,22.107,9.289,7.007,2205,86,31.28,0.246,23.644,0.002958,0.05444,1414,1.9257
30,2166.841,13.583,1.2107,26.792,1.908,1.582,2169,18,2.508,0.17,60.354,0.003934,0.05446,50,0.42295
31,2312.792,31.384,12.909,24.223,8.392,6.113,2330,52,7.9,0.272,26.784,0.0006537,0.05383,617,1.3957
32,4135.21,26.652,21.711,23.658,17.35,7.04,4172,42,9.73,0.594,-13.416,0.003962,0.05378,1166,1.8782
33,3003.853,18.818,19.84,23.756,14.461,10.458,3033,41,8.977,0.277,-12.519,0.003595,0.05483,1148,1.9207
34,2636.065,20.577,17.138,23.915,13.416,9.149,2663,43,7.831,0.318,-8.118,0.003957,0.054,1156,1.6848
35,2537.398,33.049,35.701,23.118,19.255,11.537,2584,64,12.692,0.401,9.656,0.002267,0.05433,1863,1.9524
36,1328.486,50.724,30.37,23.294,14.679,8.969,1357,82,11.696,0.389,64.273,0.003128,0.05355,1570,1.8996
37,1363.958,81.599,22.937,23.599,17.51,10.012,1395,113,9.747,0.428,52.045,0.004176,0.0533,1307,2.0834
38,409.622,31.005,5.6374,25.122,5.951,4.206,420,42,5.056,0.293,86.078,0.002819,0.05451,287,0.90883
39,2586.833,63.093,12.463,24.261,7.058,4.915,2598,78,8.604,0.304,81.962,0.0004553,0.05359,478,1.0808
40,1724.012,99.04,13.365,24.185,14.764,6.805,1738,123,6.4,0.539,-85.724,0.001405,0.05397,1027,1.6006
41,1672.561,48.423,89.654,22.119,17.389,10.021,1708,77,26.45,0.424,-4.351,0.001279,0.05392,2222,2.443
42,1781.708,101.392,77.58,22.276,21.407,11.465,1820,146,21.173,0.464,-52.272,0.0005457,0.05437,2919,2.2536
43,1789.105,31.097,48.991,22.775,16.936,10.932,1816,65,17.323,0.355,-57.408,-0.0001116,0.05603,1729,2.0646
44,1691.283,132.325,26.659,23.435,14.436,7.517,1709,166,11.625,0.479,80.594,0.002247,0.05368,1199,1.9815
45,1668.76,87.889,13.705,24.158,10.685,7.323,1687,115,7.395,0.315,89.504,0.001086,0.05272,825,1.7491
46,1752.597,59.454,22.117,23.638,17.311,7.824,1780,88,9.365,0.548,54.654,0.0002698,0.0551,1313,1.9736
47,1701.745,50.858,4.4721,25.374,5.575,3.478,1714,59,4.508,0.376,21.847,0.0005397,0.05446,226,0.83939
48,1691.546,17.371,34.655,23.151,34.803,8.35,1754,38,10.603,0.76,2.408,0.0007353,0.05502,2503,2.4572
49,2837.787,27.224,10.114,24.488,14.782,3.474,2848,60,6.672,0.765,82.269,0.00422,0.05512,532,1.2479
50,3693.32,27.402,26.836,23.428,14.357,12.143,3717,59,10.081,0.154,-73.071,0.003326,0.05378,1653,2.0815
51,3783.475,48.622,58.766,22.577,34.663,12.446,3845,81,15.92,0.641,-16.401,0.002308,0.05471,3165,NA
52,1408.82,54.38,65.369,22.462,14.861,9.168,1441,83,21.042,0.383,16.751,0.004647,0.05398,2049,2.1812
53,1384.497,14.992,44.902,22.869,23.562,9.164,1428,36,13.895,0.611,-1.524,0.00408,0.05462,2363,2.3574
54,1461.505,58.988,24.325,23.535,12.175,6.619,1480,93,11.624,0.456,-72.729,0.005033,0.05437,977,1.6073
55,1479.719,70.386,16.08,23.984,9.253,6.349,1497,89,8.657,0.314,-53.584,0.005156,0.05426,783,1.3977
56,1504.393,70.419,10.677,24.429,9.434,6.293,1518,89,6.216,0.333,-68.439,0.004023,0.05401,688,1.5522
57,1512.83,85.979,1.7986,26.363,3.993,3.057,1521,93,2.237,0.234,4.846,0.003227,0.05329,148,0.83211
58,1431.03,8.131,2.562,25.979,3.974,3.294,1438,17,3.355,0.171,-66.192,0.003788,0.05493,135,0.70663
59,1451.397,115.042,28.576,23.36,22.351,10.506,1494,144,9.978,0.53,41.457,0.006118,0.05424,1935,2.0601
60,1412.875,76.652,1.5192,26.546,4.166,2.533,1419,84,2.209,0.392,80.367,0.005286,0.05367,109,0.64193
61,2777.845,10.89,6.7105,24.933,5.788,4.49,2789,25,5.586,0.224,78.888,0.002045,0.05548,342,1.1902
62,2450.271,41.138,35.66,23.12,8.871,7.557,2481,60,15.756,0.148,7.107,0.003783,0.05538,1044,1.7436
63,2469.812,63.765,20.296,23.731,12.491,6.663,2501,81,10.276,0.467,11.931,0.003911,0.0541,883,1.4611
64,2450.535,80.824,3.8244,25.544,6.522,6.035,2464,96,2.815,0.075,49.187,0.001606,0.05394,433,1.231
65,2427.563,88.828,15.089,24.053,12.786,9.961,2449,111,7.282,0.221,86.973,-0.0001656,0.05409,1022,1.7656
66,3650.596,105.182,113.51,21.862,17.212,8.846,3705,134,32.175,0.486,8.81,0.002235,0.05362,2355,2.4659
67,3714.09,175.977,53.829,22.672,10.579,4.564,3733,196,23.471,0.569,-32.074,0.00214,0.05393,924,1.7656
68,3716.031,139.301,41.17,22.964,22.459,12.161,3758,180,15.07,0.459,-52.763,0.002019,0.05394,1694,2.3625
69,3655.608,153.328,27.247,23.412,15.298,9.024,3679,184,11.573,0.41,-65.644,0.0009323,0.05456,1279,1.9101
70,3510.945,99.484,7.3116,24.84,9.985,4.569,3528,112,5.27,0.542,-3.797,0.002942,0.05455,447,1.4102
71,1237.903,196.39,97.637,22.026,23.498,9.483,1282,229,28.395,0.596,18.909,0.0003909,0.05448,2288,2.2163
72,1221.168,42.342,104.47,21.953,26.913,17.491,1292,90,24.544,0.35,-27.297,0.003561,0.05401,3971,NA
73,1270.158,98.984,32.465,23.221,14.57,9.428,1297,129,12.809,0.353,60.818,0.0002363,0.0536,1471,2.0426
74,1230.609,107.365,28.071,23.379,13.673,8.978,1250,138,11.767,0.343,84.492,5.654e-05,0.05533,1266,1.9135
75,1196.798,219.443,111.86,21.878,15.42,10.52,1232,243,31.165,0.318,-2.05,0.001484,0.05523,2576,2.2754
76,1251.534,157.715,28.596,23.359,18.399,7.811,1281,187,11.611,0.575,-35.962,-0.001449,0.05442,1398,1.8599
77,1300.001,148.101,26.716,23.433,21.663,10.277,1322,186,9.603,0.526,-88.391,0.002309,0.05334,1843,2.4432
78,1186.164,243.545,2.1796,26.154,6.283,2.524,1196,250,2.402,0.598,-17.177,0.004422,0.05625,188,0.82555
79,2716.26,13.334,38.866,23.026,13.763,8.219,2739,41,15.975,0.403,-5.968,0.003091,0.05442,1239,1.9862
80,2724.875,52.355,37.571,23.063,22.277,7.62,2760,82,13.463,0.658,-26.419,0.0001467,0.05488,1773,2.4854
81,3603.452,48.382,82.727,22.206,12.891,10.353,3639,71,25.957,0.197,-30.178,0.003657,0.05374,2039,1.9558
82,3576.771,7.705,19.408,23.78,11.241,4.386,3605,21,11.467,0.61,-5,0.003936,0.05524,615,1.3806
83,3561.373,71.58,37.842,23.055,17.436,7.743,3594,91,14.623,0.556,12.882,0.003202,0.05411,1509,1.9418
84,3561.436,45.017,11.661,24.333,6.052,5.369,3577,59,8.52,0.113,-65.95,0.003394,0.05494,423,1.4349
85,3549.71,42.333,0.81269,27.225,1.52,1.328,3552,46,1.96,0.126,-44.981,0.003254,0.05513,39,0.39801
86,3580.592,26.236,3.1565,25.752,5.978,3.922,3591,35,3.014,0.344,-4.738,0.003833,0.05495,264,0.84725
87,124.754,136.242,69.361,22.397,11.629,7.301,149,170,24.177,0.372,76.089,0.002432,0.0541,1538,2.0237
88,97.974,137.265,8.8856,24.628,9.963,4.872,113,158,6.405,0.511,49.492,0.002749,0.05395,449,1.0543
89,145.778,193.584,18.393,23.838,13.456,7.335,172,209,9.099,0.455,12.533,0.001888,0.05455,947,1.6698
90,163.379,137.501,43.533,22.903,20.282,7.006,192,178,15.627,0.655,-68.637,0.002552,0.05438,1750,1.7824
91,2608.368,127.766,5.6745,25.115,4.458,4.432,2620,138,5.376,0.00600000000000001,24.439,0.0002009,0.05504,259,0.97151
92,3080.868,145.073,7.189,24.858,6.471,4.951,3093,162,5.943,0.235,-86.507,0.002379,0.05489,336,1.0519
93,4171.39,170.435,25.311,23.492,11.523,7.542,4197,191,11.501,0.346,8.036,0.006047,0.05487,1084,1.4122
94,4184.372,202.86,20.563,23.717,13.803,6.828,4200,232,10.29,0.505,-52.782,0.003772,0.05463,914,1.7544
95,4182.587,184.164,2.8606,25.859,6.639,2.869,4194,193,3.362,0.568,-28.607,0.004886,0.05501,163,0.76525
96,3425.39,68.128,30.919,23.274,9.991,8.756,3448,89,14.185,0.124,-89.341,0.003441,0.05411,1053,1.6325
97,3442.731,18.524,21.552,23.666,14.343,6.893,3470,40,10.703,0.519,-35.402,0.001546,0.05493,923,1.7836
98,3400.101,54.201,17.465,23.895,15.123,5.684,3430,72,9.199,0.624,-19.959,0.003503,0.05419,844,1.6461
99,3510.28,16.357,7.0946,24.873,6.182,5.617,3521,29,5.449,0.091,35.407,0.004065,0.05442,397,1.2039
100,3907.703,36.078,17.386,23.9,11.98,7.276,3937,55,9.58,0.393,7.228,0.003172,0.05391,773,1.4223
101,311.213,35.382,5.6499,25.12,7.168,5.229,324,48,4.136,0.27,71.846,0.002318,0.05291,458,1.1453
102,2330.089,176.684,107.3,21.924,22.972,10.716,2360,229,26.672,0.534,-85.451,0.005244,0.05454,3406,2.6158
103,2405.189,39.878,27.998,23.382,11.652,7.962,2431,62,12.319,0.317,-29.18,-0.000439,0.05394,1146,1.8667
104,2351.515,97.008,54.488,22.659,34.085,11.906,2402,131,15.772,0.651,-10.249,0.002775,0.05419,2755,NA
105,2381.061,66.169,21.911,23.648,7.872,6.403,2399,86,12.421,0.187,-29.024,-0.0006677,0.05322,671,1.4801
106,2346.547,51.612,22.497,23.62,18.187,7.349,2370,85,9.495,0.596,-74.484,0.001314,0.05249,1330,1.8965
107,2261.762,157.158,86.44,22.158,34.223,15.398,2307,217,20.407,0.55,67.912,0.001812,0.05421,4111,NA
108,2400.915,74.529,2.1654,26.161,4.449,1.806,2406,83,3.089,0.594,-83.544,-0.001327,0.05367,110,0.64583
109,2260.493,205.938,22.277,23.63,12.027,7.08,2287,222,10.868,0.411,19.695,0.0008666,0.05356,971,1.5587
110,3905.08,92.673,56.56,22.619,18.594,10.038,3942,120,17.743,0.46,32.832,0.003094,0.05374,2279,2.5734
111,1590.993,54.864,6.6001,24.951,9.314,3.811,1613,65,5.249,0.591,12.347,0.003317,0.0544,358,1.2312
112,248.552,93.526,38.9,23.025,11.719,10.861,270,117,15.012,0.073,-13.806,0.004135,0.05501,1474,2.0386
113,280.877,97.091,9.3276,24.576,10.645,6.455,298,117,5.466,0.394,59.631,0.004039,0.05496,689,1.4473
114,48.839,112.866,59.69,22.56,26.739,13.637,79,165,16.229,0.49,66.176,0.0001501,0.05399,3175,3.1061
115,1403.806,188.089,78.242,22.266,9.892,8.673,1432,217,27.178,0.123,79.278,0.002955,0.05437,1504,1.8459
116,1347.393,202.319,72.55,22.348,30.62,10.106,1387,259,21.059,0.67,-62.572,0.001848,0.05384,2622,2.6575
117,1385.7,210.324,37.652,23.061,11.732,9.041,1414,235,15.404,0.229,36.099,0.0009427,0.05412,1340,1.968
118,2580.087,111.851,43.372,22.907,17.466,15.51,2615,150,13.557,0.112,-74.401,0.0007901,0.05436,2380,2.4637
119,148.669,102.48,10.298,24.468,10.116,4.962,169,118,6.621,0.509,-18.977,0.002196,0.0543,568,1.2368
120,778.499,198.709,33.812,23.177,17.637,9.242,802,236,13.464,0.476,57.428,4.643e-05,0.05403,1477,2.0613
121,2108.698,225.898,19.867,23.755,14.848,8.067,2138,250,9.534,0.457,46.944,0.00194,0.05368,1032,1.7161
122,426.447,165.995,845.92,19.682,18.465,13.141,515,222,110.509,0.288,30.737,0.00233,0.05439,7155,NA
123,585.917,171.469,50.06,22.751,7.144,6.329,602,196,22.612,0.114,-48.287,0.002934,0.05434,857,1.3228
124,550.382,113.211,46.921,22.822,7.98,7.482,577,145,20.321,0.0620000000000001,53.434,0.002098,0.05505,993,1.6625
125,469.909,118.224,67.055,22.434,13.909,7.037,497,141,23.776,0.494,44.198,0.002007,0.05499,1549,2.1003
126,573.222,125.131,37.953,23.052,14.53,7.375,602,155,15.078,0.492,-40.429,0.002495,0.05469,1354,1.8741
127,510.802,110.867,12.097,24.293,8.88,7.225,530,130,6.868,0.186,-38.611,0.000938,0.05573,723,1.539
128,576.655,187.283,3.7069,25.577,4.8,3.235,586,194,4.469,0.326,7.488,0.001692,0.05432,165,0.6071
129,537.81,59.35,44.29,22.884,23.836,11.828,584,102,13.93,0.504,-56.855,0.002443,0.05496,2318,2.2435
130,584.065,144.788,3.186,25.742,5.098,4.25,594,154,2.99,0.166,-1.827,0.003081,0.05431,276,1.083
131,46.484,29.706,9.3002,24.579,12.659,4.793,70,42,6.56,0.621,-18.62,0.004114,0.0536,470,1.1654
132,4090.044,54.654,9.3115,24.577,9.002,6.497,4106,71,6.442,0.278,36.624,0.003754,0.05433,503,1.2772
133,4156.632,69.218,15.221,24.044,9.517,6.665,4179,88,9.142,0.3,-1.347,0.002142,0.05436,622,1.2329
134,2735.974,98.432,47.976,22.797,21.984,8.267,2781,130,16.096,0.624,-21.202,0.001211,0.05382,2012,2.0534
135,1186.731,132.472,308.74,20.776,16.676,9.171,1218,190,63.599,0.45,-38.774,0.000194,0.05415,3308,2.5881
136,1077.663,158.977,146.35,21.586,34.428,23.514,1138,220,25.206,0.317,-20.408,0.001444,0.05464,7652,NA
137,1138.404,122.732,7.9598,24.748,11.912,4.198,1150,147,5.491,0.648,76.317,0.0007776,0.05462,497,1.2206
138,3258.568,115.126,174.4,21.396,13.967,8.752,3304,145,45.431,0.373,19.314,0.00236,0.05402,2380,2.3464
139,1869.898,113.135,20.899,23.7,14.347,5.872,1897,131,10.431,0.591,35.058,0.003168,0.0549,909,1.7373
140,1585.429,119.183,35.748,23.117,16.607,7.066,1621,146,13.807,0.575,20.848,0.003421,0.05299,1496,2.0832
141,3533.679,186.325,222.48,21.132,41.283,22.481,3625,271,35.256,0.455,30.727,0.001996,0.05427,8703,NA
142,3488.147,118.532,6.4455,24.977,7.951,6.287,3502,136,4.464,0.209,86.445,0.003509,0.05515,503,1.3431
143,3475.514,92.906,12.908,24.223,8.681,6.521,3491,111,7.113,0.249,-72.326,0.003906,0.05544,732,1.572
144,3454.273,97.25,4.4129,25.388,5.745,4.912,3463,108,4.268,0.145,74.704,0.004531,0.05502,258,0.97668
145,2750.778,144.614,15.075,24.054,15.752,6.801,2770,177,7.673,0.568,-78.713,0.00385,0.05441,912,1.8288
146,4156.812,106.723,13.537,24.171,11.17,7.965,4186,127,7.828,0.287,-34.844,0.003788,0.05415,705,1.2255
147,335.332,199.716,27.744,23.392,15.665,7.28,366,216,12.513,0.535,-2.468,0.002422,0.05454,1118,1.7663
148,325.442,164.646,18.766,23.817,9.859,7.734,344,185,9.932,0.216,-62.087,0.003026,0.05387,822,1.5601
149,3868.166,130.563,20.822,23.704,10.484,8.532,3890,153,10.184,0.186,-38.997,0.002216,0.05413,961,1.5576
150,3849.944,138.693,4.1694,25.45,7.338,2.814,3861,152,4.145,0.617,55.46,0.002617,0.05466,236,0.83256
151,3825.997,110.922,17.663,23.882,16.946,7.286,3861,127,8.136,0.57,1.12,0.002387,0.05463,1111,1.7969
152,2786.891,123.835,5.2467,25.2,4.272,3.94,2796,133,5.075,0.078,-31.345,0.003316,0.05318,246,1.0234
153,3935.783,286.148,70.852,22.374,12.638,7.676,3973,310,24.232,0.393,5.87,0.001853,0.05366,1681,2.0627
154,3917.746,237.965,71.514,22.364,17.999,12.018,3966,267,21.889,0.332,18.648,0.001954,0.05449,2302,2.3504
155,3975.852,186.262,98.692,22.014,13.951,10.53,4008,224,29.197,0.245,59.207,0.001767,0.05517,2236,2.4576
156,3943.089,176.516,42.599,22.927,13.233,8.974,3965,208,16.716,0.322,-78.003,0.0006937,0.05464,1408,1.8294
157,3899.767,175.446,36.252,23.102,11.302,9.069,3926,201,15.419,0.198,20.488,0.001661,0.05447,1198,1.8669
158,3955.455,140.297,20.427,23.724,16.454,5.995,3985,156,9.807,0.636,8.657,0.001462,0.05394,1006,1.3095
159,1645.042,180.666,11.192,24.378,10.326,5.603,1657,203,6.702,0.457,78.492,0.004631,0.05466,665,1.3905
160,1603.669,171.266,8.1352,24.724,8.003,5.713,1617,186,5.497,0.286,-68.831,0.001938,0.05512,507,1.2727
161,1631.671,157.731,5.2856,25.192,8.297,4.788,1645,169,3.967,0.423,-31.217,0.00374,0.05405,433,1.2586
162,242.013,174.298,32.324,23.226,7.699,5.277,258,190,16.821,0.315,-18.119,0.004816,0.05476,719,1.563
163,626.985,181.797,10.062,24.493,5.835,5.384,643,194,7.19,0.077,11.959,0.004809,0.054,436,1.279
164,2751.281,272.846,50.777,22.736,8.97,6.719,2770,293,21.26,0.251,-24.204,0.004131,0.05382,1089,1.631
165,2678.764,189.069,39.813,23,19.649,9.223,2703,225,13.859,0.531,-62.116,0.00247,0.05373,1851,2.2537
166,2691.297,288.042,26.564,23.439,9.623,6.855,2715,306,12.712,0.288,3.274,0.0008289,0.05379,979,1.6439
167,2710.912,258.56,22.987,23.596,14.603,9.008,2734,293,9.482,0.383,77.468,0.002389,0.05422,1357,1.9741
168,2557.082,180.499,4.3127,25.413,5.714,2.983,2566,191,4.651,0.478,-67.558,0.001349,0.05267,204,0.93788
169,2573.503,167.788,9.4634,24.56,9.993,5.134,2587,187,6.324,0.486,53.93,0.0005045,0.05375,532,1.3895
170,2661.513,243.038,29.283,23.333,21.509,12.503,2699,276,9.501,0.419,33.532,0.002299,0.05423,2256,2.5384
171,2598.967,215.36,30.015,23.307,27.971,8.732,2621,264,10.315,0.688,-88.095,0.002204,0.05486,1992,2.178
172,199.664,183.381,10.243,24.474,10.65,5.516,220,201,7.16,0.482,-57.536,0.002553,0.05404,485,1.241
173,1991.262,197.629,5.3933,25.17,6.79,4.067,2000,215,5.048,0.401,76.998,0.001771,0.05536,271,0.89989
174,2734.049,221.731,14.824,24.073,14.763,5.989,2758,242,8.006,0.594,42.907,0.003144,0.05363,807,1.6772
175,794.329,113.261,688.61,19.905,11.009,9.475,846,156,105.958,0.139,-19.027,0.002568,0.05482,4037,NA
176,896.091,213.093,87.44,22.146,10.711,7.311,923,250,29.949,0.317,-72.092,0.002731,0.05406,1451,2.0149
177,874.276,124.99,70.852,22.374,18.031,8.587,913,147,22.934,0.524,-8.837,0.001797,0.05417,1980,2.0793
178,800.857,71.039,59.401,22.566,14.596,10.873,835,96,19.759,0.255,-35.924,0.002857,0.05371,1955,2.2545
179,939.616,240.627,36.307,23.1,15.188,6.394,956,268,15.493,0.579,89.58,0.001498,0.05424,1177,1.7538
180,857.032,152.271,23.417,23.576,8.493,5.821,877,170,12.574,0.315,36.718,0.003461,0.05438,738,1.5611
181,909.224,228.194,12.93,24.221,10.248,4.714,927,242,8.698,0.54,-21.755,0.001872,0.05471,496,1.4758
182,827.27,149.821,12.176,24.286,6.598,6.063,841,167,8.035,0.081,-15.166,0.004123,0.0554,507,1.4086
183,1017.226,247.413,43.14,22.913,21.801,10.572,1057,284,14.228,0.515,-36.881,0.0016,0.0552,2103,2.3811
184,889.729,298.792,10.205,24.478,6.282,5.003,904,312,7.614,0.204,-19.055,0.001721,0.05426,419,1.1654
185,845.318,184.445,5.5053,25.148,5.449,4.859,857,195,4.771,0.108,-11.013,0.00575,0.05436,307,1.0615
186,726.034,178.671,19.105,23.797,13.393,8.529,753,202,9.188,0.363,-44.905,0.001191,0.05334,1022,1.7818
187,722.607,88.424,55.49,22.639,23.629,10.686,764,113,16.964,0.548,0.924,0.00309,0.0548,2423,2.6548
188,931.528,129.894,50.922,22.733,20.148,11.71,962,177,15.868,0.419,-70.358,0.003159,0.05373,2390,2.579
189,852.584,173.082,2.8911,25.847,6.141,2.619,861,183,3.195,0.573,49.179,0.004976,0.05417,196,0.88781
190,966.074,271.952,63.657,22.49,23.458,16.313,996,321,18.919,0.305,87.08,0.001529,0.0537,2553,2.3765
191,872.47,178.158,7.9606,24.748,11.707,4.21,888,199,5.509,0.64,-53.748,0.003885,0.05315,488,1.1925
192,1050.28,285.191,18.263,23.846,19.03,6.225,1069,320,8.587,0.673,64.208,0.001507,0.05503,1040,1.9149
193,704.881,204.342,4.8729,25.281,6.536,4.141,718,218,4.409,0.366,-50.911,0.002022,0.05371,294,1.0107
194,755.566,242.533,64.23,22.481,25.027,17.261,818,287,17.266,0.31,38.789,0.00136,0.05425,3223,2.6171
195,880.969,203.821,4.5175,25.363,6.416,3.506,888,218,4.482,0.454,-80.22,0.003524,0.05315,246,0.86257
196,922.268,300.126,36.707,23.088,19.534,8.693,949,335,12.907,0.555,67.533,0.001381,0.05361,1858,1.9706
197,2656.794,73.021,12.872,24.226,11.404,5.191,2679,93,7.659,0.545,-39.829,-3.305e-05,0.05445,647,1.5779
198,2857.71,101.033,17.882,23.869,14.004,8.106,2878,124,8.788,0.421,74.534,0.001998,0.05466,972,1.6424
199,2185.352,103.619,7.5205,24.809,7.732,4.327,2195,119,6.169,0.44,-81.141,0.002454,0.05447,351,1.1458
200,622.621,269.844,27.777,23.391,17.37,6.976,660,289,12.7,0.598,-6.52,0.002034,0.05376,1072,1.8791
201,690.183,267.601,31.063,23.269,17.523,8.454,724,292,13.272,0.518,29.766,0.003571,0.05373,1244,1.6928
202,611.732,293.573,7.2117,24.855,5.735,4.055,625,303,6.164,0.293,19.372,0.004146,0.05403,304,1.1611
203,708.639,258.224,5.8007,25.091,8.932,3.126,723,267,5.142,0.65,8.635,0.003834,0.0542,296,0.98836
204,621.055,280.793,0.83705,27.193,1.771,1.378,624,285,1.997,0.222,-72.549,0.003105,0.05395,40,0.34912
205,645.272,229.1,25.642,23.478,20.342,11.649,673,270,9.959,0.427,60.901,0.001544,0.0537,1561,1.8592
206,3380.654,167.205,224.31,21.123,26.936,11.242,3419,217,45.225,0.583,82.894,0.00391,0.05498,4486,NA
207,1134.723,245.729,53.855,22.672,24.973,10.805,1173,289,17.72,0.567,31.03,0.003489,0.05512,2033,2.5715
208,353.97,131.984,11.02,24.394,11.222,6.247,372,149,6.5,0.443,50.914,0.00333,0.05372,690,1.4428
209,3653.729,243.805,16.758,23.939,16.504,6.926,3679,269,8.444,0.58,42.863,0.003235,0.05409,932,1.6914
210,3841.181,241.246,6.1389,25.03,5.021,3.707,3850,251,5.88,0.262,-52.977,0.00288,0.05341,255,0.97362
211,2172.171,138.73,15.63,24.015,11.505,5.677,2195,156,8.579,0.507,-33.823,0.001338,0.05444,761,1.5088
212,1492.006,217.668,169.51,21.427,11.577,8.501,1533,246,43.361,0.266,15.551,0.003411,0.05517,2433,2.5687
213,1355.684,278.226,69.717,22.392,19.932,7.627,1399,308,22.518,0.617,-50.712,0.002394,0.05472,1910,2.4907
214,1340.983,344.193,24.148,23.543,8.598,6.512,1366,365,12.019,0.243,-6.822,0.002396,0.05437,856,1.597
215,1393.597,290.333,35.414,23.127,16.678,8.131,1412,328,12.805,0.512,-89.207,0.001127,0.05432,1751,1.8228
216,1429.057,254.668,12.319,24.274,10.077,4.655,1444,273,8.342,0.538,-49.151,0.001055,0.0552,502,1.4555
217,1351.575,318.208,15.304,24.038,7.544,6.64,1366,335,8.834,0.12,-45.421,0.002836,0.05376,688,1.363
218,1452.871,194.544,17.202,23.911,10.716,6.178,1469,219,9.105,0.423,-76.181,0.003947,0.05416,819,1.466
219,1466.937,260.667,20.34,23.729,9.14,7.906,1485,283,10.424,0.135,69.193,0.00161,0.05536,863,1.5863
220,1459.782,228.526,8.283,24.705,9.2,4.222,1473,245,5.848,0.541,57.84,0.001449,0.05539,455,1.1482
221,1319.281,381.261,26.636,23.436,14.152,13.43,1349,409,9.947,0.051,-69.749,0.001932,0.05507,1675,1.9981
222,1491.334,297.019,28.262,23.372,21.143,8.843,1539,319,11.473,0.582,-9.706,0.003385,0.05502,1392,1.9873
223,1503.426,263.821,17.173,23.913,14.013,5.113,1524,292,8.821,0.635,-51.796,0.00312,0.05486,870,1.4612
224,1464.209,322.815,23.37,23.578,12.523,7.298,1483,347,10.716,0.417,44.514,0.003465,0.05396,1077,1.7664
225,1421.142,316.811,7.5688,24.802,11.019,7.561,1443,334,4.623,0.314,41.392,0.002953,0.05432,628,1.4377
