OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,520.853,11.389,6.1639,25.025,5.506,3.078,5.723,3.362,6.426,0.441,-87.63,3.326e-05,0.04982,207,0.75827
2,180.131,11.522,56.704,22.616,5.164,4.401,7.829,6.476,27.472,0.148,56.706,-0.0004603,0.05061,592,1.3529
3,413.633,11.347,8.2124,24.714,6.306,4.296,6.622,4.653,7.116,0.319,-21.449,0.0003145,0.04997,325,0.95238
4,935.239,7.649,17.468,23.894,5.934,4.359,7.308,5.288,12.655,0.265,-29.668,0.002086,0.05054,382,0.9709
5,2807.506,7.405,5.3329,25.183,3.888,3.497,4.237,3.761,5.875,0.101,-50.648,0.0002734,0.04943,192,0.74493
6,1816.842,10.024,8.7539,24.644,9.437,4.185,9.447,4.365,6.823,0.556,-1.536,-0.001264,0.04943,400,1.0278
7,3862.177,6.515,5.5742,25.135,3.891,3.334,4.278,3.58,6.595,0.143,-34.315,-0.0001931,0.0496,166,0.58659
8,4036.83,21.041,7.8805,24.759,8.456,4.764,9.085,4.748,6.391,0.437,-74.889,-0.000417,0.05033,364,1.1282
9,438.407,23.575,17.622,23.885,13.532,7.043,13.593,7.043,9.276,0.48,-20.758,0.0008894,0.04992,874,1.5384
10,3699.295,20.925,16.235,23.974,8.535,4.329,9.707,4.681,10.849,0.493,-57.341,0.001108,0.04937,502,1.2855
11,2391.063,20.623,38.913,23.025,9.734,6.658,11.449,7.72,18.097,0.316,53.201,-0.0008982,0.04992,967,1.5129
12,2622.8,28.356,16.295,23.97,6.11,5.371,7.058,6.152,11.325,0.121,-77.726,-0.0009754,0.05007,441,1.2286
13,3026.258,13.245,14.778,24.076,5.954,5.738,6.801,6.436,10.339,0.036,68.771,4.188e-05,0.04998,465,1.1353
14,739.663,11.28,3.4603,25.652,4.038,3.041,4.114,3.346,4.274,0.247,80.7,0.000483,0.0496,161,0.70514
15,3254.348,26.545,84.023,22.189,8.444,7.184,11.611,9.752,30.504,0.149,67.089,-0.0001867,0.0494,1335,1.8246
16,608.075,25.574,64.172,22.482,16.83,7.971,17.439,9.197,23.646,0.526,-55.968,0.000778,0.05043,1525,2.1409
17,888.41,23.381,38.806,23.028,7.479,5.589,9.331,7.408,19.435,0.253,17.527,0.001202,0.04997,765,1.3747
18,895.808,5.685,5.9038,25.072,4.848,3.49,5.549,3.75,5.813,0.28,28.053,0.00141,0.05003,234,0.71318
19,4192.607,10.586,31.205,23.264,8.508,4.45,9.266,5.901,19.144,0.477,23.333,-0.0004232,0.05063,437,1.1513
20,4197.313,27.688,2.6297,25.95,3.927,2.248,3.582,2.463,3.971,0.428,-70.033,-0.0003444,0.05053,105,0.53189
21,350.581,11.789,161.05,21.483,6.884,5.881,10.883,9.081,50.095,0.146,-37.706,-0.0004913,0.05003,1146,1.78
22,337.664,36.603,9.6862,24.535,4.491,3.205,5.329,3.705,9.169,0.286,3.034,-0.0002851,0.04995,230,0.82256
23,4096.03,17.282,19.467,23.777,4.338,3.726,5.65,4.843,14.766,0.141,-27.404,-0.001395,0.05024,312,0.91492
24,3292.552,8.45,7.178,24.86,4.829,4.217,5.308,4.435,6.762,0.127,-41.226,-0.0006761,0.04921,256,0.86753
25,1056.799,22.131,5.9706,25.06,4.483,2.893,5.224,3.223,6.531,0.355,-73.075,2.557e-05,0.05026,191,0.77773
26,974.776,28.596,32.792,23.211,13.702,6.132,14.541,7.063,15.863,0.553,30.737,0.001128,0.05072,924,1.7394
27,2472.198,6.597,5.4347,25.162,5.709,2.988,5.89,3.144,5.993,0.477,43.197,-0.00169,0.04999,191,0.65974
28,3543.455,8.273,22.04,23.642,6.021,3.88,7.008,5.101,14.828,0.356,74.61,0.0004638,0.05054,406,1.0016
29,3793.987,24.486,7.2187,24.854,5.24,3.699,5.524,4.055,6.981,0.294,35.964,0.0008932,0.0501,251,0.88924
30,1648.089,21.769,8.2129,24.714,6.56,5.354,7.024,5.455,7.033,0.184,61.96,0.0004105,0.05021,328,0.93667
31,3493.059,33.444,13.725,24.156,7.044,3.709,8.813,4.14,10.136,0.473,28.236,-0.0002384,0.05021,401,1.017
32,647.406,34.093,5.4778,25.153,4.492,2.838,5.052,3.05,5.998,0.368,35.088,0.001317,0.05008,186,0.68374
33,3630.275,42.998,8.381,24.692,9.015,4.528,9.167,4.656,6.571,0.498,16.121,0.0006542,0.0504,401,0.97959
34,4145.954,21.641,10.682,24.428,6.976,6.182,7.179,6.578,7.908,0.114,81.518,-0.0007858,0.05039,436,1.1361
35,923.577,55.472,7.6651,24.789,5.401,3.384,6.158,3.702,7.256,0.373,-43.604,0.001516,0.05036,250,0.85187
36,477.924,28.342,7.9368,24.751,4.967,3.733,5.456,4.101,7.951,0.248,-80.179,0.0007055,0.04985,223,0.82482
37,1556.416,36.985,9.1189,24.6,4.936,4.276,5.559,4.506,8.129,0.134,21.339,-0.001159,0.04984,300,1.082
38,2423.163,61.135,56.145,22.627,10.005,5.144,12.962,6.751,25.329,0.486,-52.163,-0.001059,0.04954,838,1.3792
39,829.499,30.104,72.753,22.345,6.987,4.95,11.298,7.279,30.404,0.292,46.161,-0.0002031,0.04982,861,1.5705
40,844.899,61.783,22.515,23.619,7.383,5.08,7.59,6.067,14.385,0.312,63.058,-0.0001531,0.04981,515,1.0973
41,136.451,38.675,60.297,22.549,20.24,7.126,20.138,8.173,21.517,0.648,5.603,-0.0008026,0.05001,1703,2.1168
42,199.695,37.682,4.5995,25.343,4.149,2.951,4.473,3.157,5.711,0.289,56.694,-0.0003995,0.05042,152,0.56656
43,710.94,72.652,115.86,21.84,7.012,6.284,11.111,9.349,39.976,0.104,41.319,0.000986,0.04965,1160,1.6599
44,185.064,88.286,201.89,21.237,11.28,7.566,16.367,11.185,52.202,0.329,39.145,-0.001101,0.05001,2134,2.2745
45,37.233,36.238,16.903,23.93,11.721,5.79,11.86,6.03,9.835,0.506,-6.652,-0.0001846,0.04891,712,1.1643
46,2491.625,50.302,12.471,24.26,4.505,4.455,5.458,5.19,10.086,0.011,-19.309,-0.001239,0.04989,331,0.97358
47,3558.566,80.64,8.9996,24.614,4.299,3.338,5.268,3.916,8.812,0.224,-28.876,0.0002371,0.05014,212,0.72833
48,2338.186,40.691,5.4175,25.166,4.915,3.026,5.268,3.232,5.825,0.384,31.69,-0.0002807,0.05004,197,0.73529
49,410.335,77.373,13.885,24.144,7.412,4.91,8.663,5.266,10.371,0.338,9.181,0.0008911,0.04972,395,1.1002
50,2612.114,92.687,8.7398,24.646,6.296,4.777,6.524,4.968,7.126,0.241,11.209,-0.001451,0.04974,344,0.8859
51,2975.456,57.695,5.4869,25.152,5.769,3.698,5.94,3.836,5.533,0.359,81.326,-0.0003167,0.04993,237,0.70726
52,2116.205,83.374,5.8484,25.082,5.233,3.034,5.687,3.184,6.341,0.42,20.362,0.0002235,0.04929,199,0.72256
53,29.846,101.047,6.7543,24.926,4.246,3.082,4.82,3.547,7.222,0.274,78.463,-0.0003935,0.04938,202,0.67355
54,2008.866,75.102,14.67,24.084,14.893,4.373,15.652,4.542,8.887,0.706,69.943,0.0004835,0.04947,654,1.3128
55,2989.187,112.914,7.0445,24.88,6.947,6.298,6.959,6.406,5.879,0.093,2.537,-5.247e-05,0.0498,339,0.98888
56,3896.141,72.805,14.883,24.068,8.599,4.099,9.894,4.5,10.277,0.523,-29.461,-0.000615,0.04916,484,0.99621
57,1185.295,81.767,4.5942,25.344,4.173,3.05,4.226,3.272,5.488,0.269,21.038,-0.0004034,0.04972,160,0.65977
58,3926.458,124.154,9.7252,24.53,5.925,3.96,6.673,4.382,8.349,0.332,-3.802,0.0001325,0.04919,300,0.98656
59,663.272,73.631,20.24,23.734,5.954,4.318,7.246,5.161,13.629,0.275,37.693,0.00142,0.04973,443,1.0898
60,4058.526,136.394,7.5613,24.804,8.386,4.112,8.986,4.309,6.29,0.51,-18.076,0.0003018,0.04994,349,0.90951
61,1263.798,105.738,47.258,22.814,11.202,7.143,13.328,8.205,21.352,0.362,-5.887,0.0007156,0.0499,990,1.724
62,586.234,96.999,14.244,24.116,5.891,5.73,6.779,6.137,10.119,0.027,23.651,-0.0002117,0.04994,458,1.0768
63,3394.167,103.683,6.5334,24.962,4.918,3.895,5.228,4.141,6.496,0.208,72.934,-0.0003038,0.05004,228,0.71936
64,294.577,100.528,3.8889,25.525,4.904,3.168,5.034,3.179,4.53,0.354,33.559,6.857e-06,0.04978,175,0.76004
65,2586.326,68.214,34.481,23.156,9.435,5.131,11.851,6.414,17.563,0.456,4.771,-0.001529,0.04983,801,1.6344
66,2546.881,59.788,19.313,23.785,10.059,5.861,10.486,6.227,11.148,0.417,84.746,-0.001008,0.05,693,1.283
67,3350.547,115.833,8.6855,24.653,5.232,4.143,5.504,4.538,7.869,0.208,59.512,0.0002946,0.05022,267,0.85725
68,3901.472,99.005,27.17,23.415,10.393,5.844,10.928,6.523,14.267,0.438,-58.879,-0.0002788,0.0492,814,1.5265
69,3003.781,60.027,64.46,22.477,11.529,6.973,13.786,8.871,24.741,0.395,-63.581,-5.288e-05,0.04993,1310,1.6056
70,2992.385,30.373,16.923,23.929,8.957,6.182,9.632,6.666,9.877,0.31,-3.761,-0.0001885,0.04994,685,1.312
71,375.294,125.97,7.4249,24.823,4.472,4.026,4.943,4.548,7.076,0.1,-30.533,0.0001659,0.04935,258,0.9061
72,3073.224,97.436,8.9185,24.624,5.579,4.441,5.855,4.882,7.675,0.204,-14.759,0.001057,0.04999,308,1.0472
73,3641.921,137.946,5.1109,25.229,4.327,3.339,4.742,3.497,5.721,0.228,-85.935,0.0003288,0.05063,182,0.70602
74,3427.801,130.809,54.264,22.664,9.288,5.52,12.24,7.365,23.559,0.406,87.532,-7.712e-05,0.04977,985,1.4644
75,3227.873,128.731,7.3998,24.827,5.016,4.099,5.453,4.191,7.087,0.183,-86.795,-0.0002496,0.04966,250,0.8182
76,1136.419,136.932,4.8843,25.278,5.123,3.924,4.941,4.253,4.918,0.234,17.993,-0.0006978,0.04965,232,0.82963
77,1374.349,154.092,19.87,23.755,8.9,5.586,9.454,6.462,12.269,0.372,38.35,0.001076,0.04951,575,1.1496
78,1306.662,154.466,6.2425,25.012,6.077,3.198,6.425,3.363,6.261,0.474,-11.455,0.001139,0.04951,231,0.74274
79,3409.496,34.792,538.71,20.172,9.543,8.351,16.658,14.915,95.037,0.125,-29.526,-0.0001904,0.05013,2936,2.6946
80,3372.976,22.749,39.132,23.019,8.677,6.053,9.93,7.491,19.18,0.302,8.812,-0.0009696,0.05002,825,1.5495
81,2432.983,179.042,23.476,23.573,6.084,5.436,7.343,6.592,14.328,0.107,40.224,0.0004219,0.04968,552,1.2216
82,1493.985,183.214,152.52,21.542,8.922,7.903,13.039,11.892,44.4,0.114,-71.212,0.0007176,0.04975,1765,2.1877
83,1520.651,150.774,44.528,22.878,6.922,5.513,9.811,6.827,21.615,0.203,-1.369,0.0002426,0.04989,762,1.3678
84,1909.058,110.571,108.06,21.916,41.69,6.492,40.143,7.714,30.656,0.844,84.196,-0.0006065,0.049,2586,2.5577
85,2283.317,177.293,6.9338,24.898,3.918,3.121,4.504,3.509,7.442,0.203,-6.85,-5.522e-05,0.04963,189,0.69862
86,3150.677,29.921,17.082,23.919,5.649,3.497,7.531,4.204,13.714,0.381,51.641,-0.001376,0.05008,283,0.97452
87,3148.446,97.107,51.515,22.72,15.523,5.825,16.22,7.101,21.952,0.625,21.617,5.512e-05,0.05013,1100,1.7652
88,3131.178,51.522,44.1,22.889,16.201,8.839,15.789,9.967,18.101,0.454,-44.043,-0.0008177,0.05009,1322,1.9582
89,2283.51,62.764,363.95,20.597,13.725,9.078,21.338,13.807,72.015,0.339,-45.576,-0.0003706,0.04999,3295,2.7594
90,2262.531,102.967,46.355,22.835,4.614,3.92,7.167,5.914,24.763,0.15,63.714,-0.0008694,0.04979,498,1.1568
91,2246.966,108.611,12.866,24.226,5.077,3.915,5.958,4.482,10.821,0.229,-76.413,-0.0007776,0.04991,289,0.85972
92,3001.674,186.758,4.2795,25.422,4.145,2.786,4.255,3.039,5.195,0.328,55,-0.000901,0.04969,154,0.63117
93,2693.168,78.76,7.1186,24.869,5.318,4.245,5.482,4.425,6.704,0.202,86.425,-0.0003774,0.05039,261,0.88352
94,538.775,162.675,13.48,24.176,10.303,5.258,10.081,5.645,8.993,0.49,-21.036,-0.001347,0.04965,524,1.1193
95,3473.99,202.033,5.5768,25.134,4.023,2.665,4.672,3.015,6.542,0.337,-7.034,0.0002615,0.04987,167,0.72955
96,2898.222,37.763,9.1566,24.596,4.324,3.171,5.178,3.813,8.773,0.267,-4.41,-0.0003653,0.04919,237,0.76258
97,2141.533,171.428,7.3914,24.828,6.659,3.066,6.844,3.245,7.252,0.54,43.963,-0.0001587,0.04998,249,0.75578
98,1595.327,38.861,30.378,23.294,15.891,5.923,16.435,6.503,14.568,0.627,-74.237,-8.578e-05,0.05006,976,1.6721
99,1245.923,59.051,7.4174,24.824,10.458,3.527,10.882,3.729,6.278,0.663,-57.799,0.0004627,0.05033,326,0.9778
100,3568.57,29.254,4.8022,25.296,5.189,2.801,5.613,3.037,5.23,0.46,-26.92,0.0007015,0.05045,195,0.67922
101,3474.174,221.33,11.986,24.303,9.445,5.009,9.613,5.159,8.54,0.47,-17.524,0.0001486,0.04992,473,1.0518
102,2840.203,91.382,22.029,23.643,9.018,5.234,10.681,6.103,13.274,0.42,7.001,0.0006625,0.04948,600,1.3391
103,1385.739,64.975,4.6783,25.325,4.171,3.291,4.454,3.51,5.176,0.211,15.29,0.0001573,0.05039,191,0.8293
104,3717.65,74.726,3.3958,25.673,4.549,1.825,4.94,2.165,4.726,0.599,-63.514,0.0005744,0.04964,115,0.60867
105,4090.787,225.679,5.8017,25.091,5.05,3.935,5.185,4.004,6.103,0.221,22.886,-0.0006066,0.04889,216,0.73795
106,981.495,98.654,5.0694,25.238,6.87,3.42,7.08,3.545,4.743,0.502,66.567,0.0003457,0.05072,273,0.90848
107,2232.644,236.316,4.0439,25.483,3.646,2.23,4.026,2.611,5.589,0.389,-76.291,0.0004814,0.0499,122,0.6109
108,3225.801,49.011,13.697,24.158,6.504,5.458,7.253,5.854,9.808,0.161,-83.563,-0.0002201,0.04966,451,1.1509
109,3727.083,188.125,41.973,22.943,10.146,7.308,11.627,8.875,19.474,0.28,0.286,0.0001752,0.04978,963,1.5823
110,3824.774,101.276,3.612,25.606,4.319,2.448,4.395,2.638,4.807,0.433,-9.598,-0.0005805,0.04967,132,0.55031
111,3852.009,54.07,290.57,20.842,11.082,6.612,14.077,11.185,68.641,0.403,-9.811,-0.0004494,0.04957,1887,2.1559
112,3813.439,54.773,31.148,23.266,6.487,5.03,8.094,6.462,17.416,0.225,-25.02,9.749e-05,0.04991,609,1.2898
113,1350.242,93.772,8.1686,24.72,6.751,4.626,7.149,4.699,7.064,0.315,-68.632,0.0005162,0.04973,327,0.833
114,1060.578,184.387,4.1639,25.451,5.242,2.72,5.214,2.83,5.084,0.481,9.95,-0.000119,0.04969,159,0.60358
115,2182.993,98.59,5.8488,25.082,5,3.073,5.47,3.39,6.102,0.385,-39.056,8.126e-05,0.04973,213,0.69882
116,1705.818,112.048,68.141,22.416,9.03,5.976,12.479,8.087,27.923,0.338,5.667,-0.0001772,0.05011,1027,1.4708
117,1674.265,126.879,45.693,22.85,13.009,4.692,15.137,6.085,21.355,0.639,-40.556,0.000238,0.05045,844,1.5771
118,2176.56,47.377,14.497,24.097,4.611,3.436,6.265,4.169,11.658,0.255,20.658,-3.212e-05,0.04966,304,0.96817
119,481.695,128.007,13.889,24.143,8.589,6.268,9.259,6.508,8.733,0.27,86.276,-4.02e-05,0.04957,611,1.3897
120,3282.835,62.421,7.391,24.828,7.276,3.567,7.565,3.766,6.487,0.51,-14.61,-0.0003332,0.0495,311,0.94498
121,4100.077,72.872,4.5679,25.351,6.804,2.836,6.981,2.95,4.977,0.583,27.527,-0.0008126,0.05026,203,0.75267
122,4118.676,134.88,8.3352,24.698,5.183,4.919,5.773,5.238,7.04,0.051,56.049,-0.0005048,0.04992,324,0.88546
123,1462.251,119.31,34.592,23.153,9.736,5.176,12.568,6.32,17.181,0.468,32.696,0.001157,0.0501,809,1.339
124,2301.968,125.192,23.377,23.578,10.638,6.121,11.217,6.708,12.823,0.425,-52.618,-0.0006137,0.04944,762,1.3925
125,2519.463,267.947,45.497,22.855,12.595,11.677,13.453,11.68,18.504,0.073,-44.977,0.001078,0.05038,1335,1.6894
126,2804.84,120.393,4.9937,25.254,5.329,4.292,5.326,4.33,4.957,0.195,38.951,0.0005795,0.04944,247,0.91834
127,3956.43,127.859,5.0095,25.251,6.147,3.525,6.405,3.749,5.084,0.427,85.281,0.0002645,0.04926,229,0.81175
128,4047.181,95.594,11.753,24.325,8.542,4.274,9.54,4.761,8.184,0.5,-51.702,0.000247,0.05001,487,1.0397
129,3251.756,138.623,7.9084,24.755,4.224,3.543,4.686,3.839,8.228,0.161,71.15,-3.151e-06,0.04944,204,0.81314
130,1998.794,133.888,5.4846,25.152,4.795,3.89,5.146,4.02,5.541,0.189,50.401,0.001009,0.04939,234,0.81419
131,1725.001,43.952,14.888,24.068,8.298,3.963,9.266,4.301,10.293,0.522,-64.91,-0.0009037,0.05,466,1.2031
132,1703.351,61.217,8.3784,24.692,8.85,4.461,9.55,4.627,5.918,0.496,25.015,-0.0005443,0.05003,492,1.2441
133,1705.462,81.877,10.439,24.453,6.706,5.446,7.306,5.757,7.958,0.188,-5.436,-0.0004954,0.05005,408,0.97401
134,1053.274,72.929,141.37,21.624,12.46,7.178,18.787,9.929,42.198,0.424,-28.764,-0.0004182,0.05045,1728,1.8973
135,1892.157,149.946,5.7332,25.104,5.532,2.679,5.862,3.095,6.144,0.516,49.996,-0.0006654,0.04893,208,0.79825
136,978.057,212.626,67.733,22.423,8.043,5.617,11.066,7.912,27.583,0.302,77.93,-0.0001512,0.05014,1006,1.6971
137,1001.814,205.375,20.608,23.715,5.089,4.334,6.758,5.411,14.42,0.148,3.943,-0.0004583,0.05004,405,1.0138
138,3594.168,68.171,6.6549,24.942,4.6,3.463,4.847,3.764,7.163,0.247,-37.169,0.0007653,0.05037,198,0.82873
139,1431.226,156.205,42.42,22.931,16.214,4.999,15.937,5.973,19.19,0.692,44.456,0.001619,0.04987,982,1.4364
140,8.366,55.86,11.399,24.358,10.857,3.662,10.791,3.837,8.525,0.663,-79.421,-0.0003315,0.04898,429,1.1789
141,514.985,220.674,9.0509,24.608,7.369,3.642,8.199,3.96,7.343,0.506,75.525,-0.00123,0.04986,344,1.0098
142,494.884,223.707,4.1452,25.456,4.164,3.758,4.285,3.856,4.779,0.098,89.17,-0.001452,0.04984,175,0.70187
143,3677.301,154.068,7.9745,24.746,6.93,3.975,7.138,3.998,6.905,0.426,36.735,0.001204,0.0505,323,0.85137
144,1654.992,89.22,13.578,24.168,11.295,3.927,11.313,4.149,9.309,0.652,35.72,0.0001522,0.05038,487,1.1288
145,2975.477,232.083,4.9261,25.269,4.646,3.822,4.909,3.852,5.239,0.177,-38.916,-0.001163,0.04982,215,0.76043
146,1700.34,6.948,90.387,22.11,6.644,5.389,10.7,7.27,35.826,0.189,3.641,-0.000387,0.05001,847,1.4651
147,4148.205,111.311,33.363,23.192,13.326,7.187,14.852,7.724,15.225,0.461,57.381,-0.0004282,0.05002,1071,1.6265
148,3497.169,179.621,34.897,23.143,10.026,7.837,10.25,9.119,17.43,0.218,41.041,-7.033e-05,0.04973,818,1.4538
149,3445.238,93.184,6.3873,24.987,5.787,3.609,5.958,3.831,6.135,0.376,75.879,-0.0001857,0.0498,255,0.85413
150,3480.105,242.932,8.7199,24.649,5.802,4.482,6.084,4.889,7.489,0.228,45.904,-0.0001772,0.04973,318,0.98413
151,4195.875,108.723,8.9959,24.615,5.67,3.31,6.379,3.432,8.823,0.416,-87.458,-8.351e-05,0.05014,226,0.73267
152,326.418,276.932,121.88,21.785,7.701,7.356,11.461,10.83,39.373,0.045,-68.088,-0.0003232,0.04983,1448,2.0249
153,2369.581,66.607,34.136,23.167,7.991,5.841,9.96,7.205,17.57,0.269,-34.294,-0.0005314,0.04981,777,1.3045
154,1022.663,176.3,7.9751,24.746,7.242,4.144,7.666,4.304,6.856,0.428,-21.703,-0.0004342,0.05008,318,0.91051
155,4113.894,101.479,8.6982,24.651,5.559,4.706,5.836,5.002,7.379,0.153,24.877,-0.0004657,0.05013,330,0.88665
156,3445.443,275.646,6.7378,24.929,4.887,3.814,5.176,4.285,6.497,0.22,-48.783,-0.0009922,0.0492,256,0.84107
157,2366.625,181.93,7.6259,24.794,5.142,4.053,5.446,4.491,6.965,0.212,-19.357,0.0003336,0.04985,274,0.75939
158,3295.906,290.178,7.9201,24.753,5.264,3.972,5.658,4.276,7.573,0.245,52.616,0.000671,0.05098,242,0.80762
159,3826.674,20.58,11.001,24.396,5.024,4.607,5.47,5.005,9.489,0.083,-17.07,0.0004473,0.05,293,0.90194
160,3814.568,15.653,9.3463,24.573,7.918,3.265,8.546,3.545,8.139,0.588,-79.46,0.0005596,0.05001,301,0.79565
161,524.152,74.003,15.142,24.05,7.362,5.808,8.002,6.15,10.131,0.211,62.288,-0.0003589,0.04971,516,1.2186
162,506.365,191.997,6.0989,25.037,5.759,3.017,6.108,3.275,6.233,0.476,-16.219,-0.001419,0.04942,232,0.89633
163,752.434,302.608,9.312,24.577,4.629,3.199,5.545,3.687,8.903,0.309,-35.663,-2.653e-05,0.05026,228,0.8315
164,764.986,133.104,29.846,23.313,11.24,5.079,12.212,6.008,15.744,0.548,62.487,0.0002358,0.05,761,1.29
165,1465.74,307.808,3.8431,25.538,4.502,2.654,4.676,2.856,4.727,0.411,-50.494,2.826e-07,0.04986,156,0.61528
166,2682.026,116.999,15.461,24.027,13.289,5.464,13.094,5.921,9.07,0.589,-8.263,0.0001294,0.04998,705,1.4929
167,636.737,129.545,6.1882,25.021,6.18,3.648,6.358,3.763,5.918,0.41,-11.676,1.794e-05,0.04974,257,0.8899
168,588.765,210.701,19.007,23.803,6.047,5.349,7.426,6.403,12.737,0.115,-22.778,-0.0003543,0.04964,472,1.1882
169,614.216,145.83,7.254,24.849,5.738,2.622,6.235,2.992,7.647,0.543,-85.994,-0.0003485,0.04993,199,0.78077
170,177.68,330.037,8.3473,24.696,8.299,3.433,8.696,3.743,6.825,0.586,-66.981,1.464e-05,0.04969,359,0.95791
171,363.273,219.309,5.8191,25.088,4,3.235,4.558,3.52,6.416,0.191,45.08,0.0003086,0.05028,183,0.68151
172,1986.229,94.634,43.443,22.905,6.858,6.48,8.289,8.049,21.4,0.055,66.781,0.000615,0.04927,774,1.3834
173,3876.804,129.597,24.671,23.52,5.98,4.858,7.654,5.998,15.171,0.188,56.712,5.108e-05,0.04914,542,1.2223
174,1099.911,334.957,8.1717,24.719,5.336,4.663,5.804,5.044,6.891,0.126,21.505,0.0002444,0.05018,334,1.1234
175,1212.735,30.09,60.991,22.537,9.989,7.221,12.358,9.144,24.165,0.277,-40.074,2e-04,0.0503,1254,1.8099
176,338.217,232.091,8.4728,24.68,6.625,4.35,6.78,4.965,7.106,0.343,-62.862,9.14e-05,0.05043,342,0.9174
177,1217.919,96.553,17.036,23.922,4.583,4.183,5.666,5.233,13.004,0.087,-70.311,-0.0003743,0.04987,336,0.93534
178,681.754,269.323,53.273,22.684,9.882,5.403,12.116,6.767,23.65,0.453,-40.153,-6.279e-05,0.04997,952,1.7796
179,655.753,290.032,21.833,23.652,7.376,6.082,9.355,7.081,13.289,0.175,-68.703,-0.0001193,0.04955,568,1.2583
180,3914.926,237.195,12.152,24.288,5.187,3.906,5.959,4.581,10.011,0.247,7.914,0.0009586,0.04899,322,0.9245
181,3961.667,157.163,32.541,23.219,8.145,6.404,9.49,7.652,16.324,0.214,-69.615,0.0002713,0.04902,816,1.3954
182,2311.611,275.99,11.854,24.315,6.037,4.544,6.648,4.943,9.423,0.247,-71.693,-3.372e-05,0.05,350,1.0938
183,2002.2,253.886,11.84,24.317,5.809,3.878,6.677,4.431,9.417,0.332,37.352,-0.0001938,0.05039,343,1.0427
184,964.379,358.555,15.433,24.029,15.473,5.311,15.156,5.439,8.81,0.657,46.042,-0.001292,0.04973,743,1.3952
185,1605.338,164.263,10.789,24.418,8.667,4.943,8.833,5.095,7.564,0.43,15.776,-0.000192,0.05027,489,1.0546
186,2438.287,264.751,5.1145,25.228,4.212,3.289,4.691,3.59,5.748,0.219,-83.09,0.0005777,0.04933,192,0.74197
187,3780.774,351.159,4.0163,25.49,5.451,2.814,5.963,3.016,4.375,0.484,54.355,0.0006446,0.04973,203,0.71502
188,1919.383,275.304,6.2521,25.01,5.244,3.109,5.651,3.441,6.388,0.407,-21.6,-0.0001781,0.05031,222,0.71997
189,2466.069,150.937,157.96,21.504,7.55,7.449,11.353,10.953,47.32,0.013,-7.968,0.0001845,0.04943,1503,1.9541
190,2215.257,174.591,78.592,22.262,18.251,8.257,20.254,9.723,26.316,0.548,-34.624,-0.000428,0.04961,1834,1.8229
191,2195.869,214.033,16.528,23.954,10.347,5.297,10.844,5.513,10.272,0.488,-36.008,-6.267e-05,0.04968,595,1.3288
192,2208.053,149.189,8.3317,24.698,6.209,3.789,6.605,4.081,7.344,0.39,-56.962,-0.0004568,0.04969,305,0.94349
193,89.497,376.423,37.179,23.074,14.206,6.735,15.466,7.487,16.728,0.526,-67.632,-0.0008175,0.0494,1075,1.6186
194,2754.397,303.471,59.448,22.565,8.792,6.524,11.244,8.67,24.63,0.258,12.223,0.0005819,0.05009,1057,1.636
195,3244.224,302.285,3.6672,25.589,3.74,3.31,4.22,3.376,4.412,0.115,76.004,0.0002747,0.05042,164,0.64651
196,1154.618,165.381,35.145,23.135,14.568,6.537,14.637,7.304,16.397,0.551,7.199,-0.000584,0.04935,1015,1.5191
197,796.995,381.805,13.604,24.166,6.012,5.951,6.941,6.492,10.139,0.01,27.433,0.0002883,0.04961,412,1.0824
198,2045.483,306.481,7.4205,24.824,4.506,3.115,4.74,3.764,7.654,0.309,24.172,-0.0003554,0.05056,195,0.86182
199,2159.686,317.843,6.3038,25.001,4.622,3.318,4.916,3.659,6.548,0.282,-31.442,-0.0008477,0.05008,211,0.72124
200,866.841,389.896,6.5217,24.964,7.423,3.664,7.343,3.815,6.524,0.506,37.223,-0.0002602,0.04967,239,0.83083
201,4195.139,331.132,3.4652,25.651,3.151,2.903,3.922,3.082,4.397,0.079,-76.956,0.0001002,0.04961,147,0.6449
202,2444.67,344.499,7.5607,24.804,7.424,3.361,7.847,3.573,6.955,0.547,41.923,-0.0003238,0.04962,283,0.8687
203,1785.729,136.458,25.54,23.482,13.456,4.855,13.725,5.384,13.662,0.639,-6.917,0.0001254,0.04979,762,1.3238
204,1762.375,113.425,15.246,24.042,12.238,4.742,12.285,5.015,9.552,0.613,86.753,-0.0002519,0.05,604,1.3448
205,1743.195,180.788,31.74,23.246,12.019,5.993,12.029,7.078,16.319,0.501,-27.649,0.001642,0.05027,796,1.3628
206,949.896,411.719,16.759,23.939,8.988,7.027,9.556,7.376,10.028,0.218,-68.345,-0.0009348,0.04994,635,1.3741
207,3986.706,176.409,4.5731,25.349,6.06,3.521,5.875,3.826,4.583,0.419,9.913,0.0003653,0.04895,246,0.83213
208,449.241,317.328,392.81,20.515,14.186,11.009,20.329,16.364,74.413,0.224,78.128,-2.845e-05,0.04963,3770,2.7747
209,3267.497,410.212,4.3443,25.405,3.88,3.737,4.201,3.864,5.307,0.037,52.124,-0.0008636,0.04984,157,0.58267
